Date,Infected,Recovered,Dead,Susceptible
1/2/20,8,0,0,11689100
1/3/20,3,0,0,11689100
1/4/20,3,0,0,11689100
1/5/20,8,0,0,11689100
1/6/20,6,0,0,11689100
1/7/20,2,0,0,11689100
1/8/20,3,0,0,11689100
1/10/20,4,0,0,11689100
1/11/20,6,0,0,11689100
1/12/20,1,0,0,11689100
1/13/20,8,0,0,11689100
1/14/20,4,0,0,11689100
1/15/20,12,0,0,11689100
1/16/20,4,0,0,11689100
1/17/20,2,0,0,11689100
1/18/20,5,0,0,11689100
1/19/20,9,0,0,11689100
1/20/20,8,0,0,11689100
1/21/20,3,0,0,11689100
1/22/20,8,0,0,11689100
1/23/20,5,8,0,11689100
1/24/20,2,3,0,11689100
1/25/20,6,3,0,11689100
1/26/20,7,8,0,11689100
1/27/20,9,6,0,11689100
1/28/20,8,2,0,11689100
1/29/20,4,3,0,11689100
1/30/20,5,0,0,11689100
1/31/20,3,4,0,11689100
2/1/20,11,6,0,11689100
2/2/20,2,1,0,11689100
2/3/20,8,8,0,11689100
2/4/20,2,4,0,11689100
2/5/20,4,12,0,11689100
2/6/20,5,4,0,11689100
2/7/20,4,2,0,11689100
2/8/20,2,5,0,11689100
2/9/20,2,9,0,11689100
2/10/20,7,8,0,11689100
2/11/20,3,3,0,11689100
2/12/20,4,8,0,11689100
2/13/20,3,5,0,11689100
2/14/20,9,2,0,11689100
2/15/20,11,6,0,11689100
2/16/20,9,7,0,11689100
2/17/20,4,9,0,11689100
2/18/20,4,8,0,11689100
2/19/20,4,4,0,11689100
2/20/20,12,5,0,11689100
2/21/20,9,3,0,11689100
2/22/20,4,11,0,11689100
2/23/20,7,2,0,11689100
2/24/20,7,8,0,11689100
2/25/20,10,2,0,11689100
2/26/20,13,4,0,11689100
2/27/20,4,5,0,11689100
2/28/20,24,4,0,11689100
2/29/20,15,2,0,11689100
3/1/20,57,2,0,11689100
3/2/20,17,7,0,11689100
3/3/20,22,3,0,11689100
3/4/20,16,4,0,11689100
3/5/20,18,3,0,11689100
3/6/20,40,9,0,11689100
3/7/20,40,11,0,11689100
3/8/20,39,9,0,11689100
3/9/20,66,4,0,11689100
3/10/20,96,4,0,11689100
3/11/20,81,4,0,11689100
3/12/20,104,12,0,11689100
3/13/20,160,9,0,11689100
3/14/20,162,4,1,11689100
3/15/20,209,7,0,11689100
3/16/20,281,7,0,11689100
3/17/20,298,10,1,11689100
3/18/20,255,13,1,11689100
3/19/20,221,4,0,11689100
3/20/20,333,24,5,11689100
3/21/20,250,15,0,11689100
3/22/20,231,57,3,11689100
3/23/20,361,17,4,11689100
3/24/20,285,22,4,11689100
3/25/20,313,16,6,11689100
3/26/20,305,18,7,11689100
3/27/20,363,40,8,11689100
3/28/20,342,40,11,11689100
3/29/20,279,39,19,11689100
3/30/20,383,66,13,11689100
3/31/20,313,96,8,11689100
4/1/20,423,81,17,11689100
4/2/20,340,104,18,11689100
